"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","absolute_url","cluster","year_filed","scdb_id","scdb_decision_direction","scdb_votes_majority","scdb_votes_minority"
"justice marshall","majority",FALSE,"Karl J. Kirchberg v. Joan Paillot Feenstra",1981-03-23,"450 U.S. 455","https://www.courtlistener.com/opinion/110433/karl-j-kirchberg-v-joan-paillot-feenstra/","https://www.courtlistener.com/api/rest/v3/clusters/110433/",1981,"1980-058",2,9,0
"justice souter","concurring",TRUE,"Stewart v. LaGrand",1999-03-03,"526 U.S. 115","https://www.courtlistener.com/opinion/1087693/stewart-v-lagrand/","https://www.courtlistener.com/api/rest/v3/clusters/1087693/",1999,"1998-032",1,8,0
"justice stevens","dissenting",TRUE,"Stewart v. LaGrand",1999-03-03,"526 U.S. 115","https://www.courtlistener.com/opinion/1087693/stewart-v-lagrand/","https://www.courtlistener.com/api/rest/v3/clusters/1087693/",1999,"1998-032",1,8,0
"justice burger","majority",FALSE,"MacKey v. Montrym",1979-06-25,"443 U.S. 1","https://www.courtlistener.com/opinion/110126/mackey-v-montrym/","https://www.courtlistener.com/api/rest/v3/clusters/110126/",1979,"1978-137",1,5,4
"justice stewart","dissenting",FALSE,"MacKey v. Montrym",1979-06-25,"443 U.S. 1","https://www.courtlistener.com/opinion/110126/mackey-v-montrym/","https://www.courtlistener.com/api/rest/v3/clusters/110126/",1979,"1978-137",1,5,4
"justice rehnquist","majority",FALSE,"Raines v. Byrd",1997-06-26,"521 U.S. 811","https://www.courtlistener.com/opinion/118146/raines-v-byrd/","https://www.courtlistener.com/api/rest/v3/clusters/118146/",1997,"1996-093",1,7,2
"justice souter","concurring",FALSE,"Raines v. Byrd",1997-06-26,"521 U.S. 811","https://www.courtlistener.com/opinion/118146/raines-v-byrd/","https://www.courtlistener.com/api/rest/v3/clusters/118146/",1997,"1996-093",1,7,2
"justice stevens","dissenting",FALSE,"Raines v. Byrd",1997-06-26,"521 U.S. 811","https://www.courtlistener.com/opinion/118146/raines-v-byrd/","https://www.courtlistener.com/api/rest/v3/clusters/118146/",1997,"1996-093",1,7,2
"justice breyer","second_dissenting",FALSE,"Raines v. Byrd",1997-06-26,"521 U.S. 811","https://www.courtlistener.com/opinion/118146/raines-v-byrd/","https://www.courtlistener.com/api/rest/v3/clusters/118146/",1997,"1996-093",1,7,2
"justice stevens","dissenting",TRUE,"Jago v. Van Curen",1981-11-09,"454 U.S. 14","https://www.courtlistener.com/opinion/110576/jago-v-van-curen/","https://www.courtlistener.com/api/rest/v3/clusters/110576/",1981,"1981-003",1,6,3
"justice stewart","majority",FALSE,"Almeida-Sanchez v. United States",1973-06-21,"413 U.S. 266","https://www.courtlistener.com/opinion/108845/almeida-sanchez-v-united-states/","https://www.courtlistener.com/api/rest/v3/clusters/108845/",1973,"1972-165",2,5,4
"justice powell","concurring",FALSE,"Almeida-Sanchez v. United States",1973-06-21,"413 U.S. 266","https://www.courtlistener.com/opinion/108845/almeida-sanchez-v-united-states/","https://www.courtlistener.com/api/rest/v3/clusters/108845/",1973,"1972-165",2,5,4
"justice white","dissenting",FALSE,"Almeida-Sanchez v. United States",1973-06-21,"413 U.S. 266","https://www.courtlistener.com/opinion/108845/almeida-sanchez-v-united-states/","https://www.courtlistener.com/api/rest/v3/clusters/108845/",1973,"1972-165",2,5,4
